Creed III,02-03-2023,"Drama, Action", English,271616668,75000000,AU,73
Avatar: The Way of Water,15-12-2022,"Science Fiction, Adventure, Action", English,2316794914,460000000,AU,78
The Super Mario Bros. Movie,05-04-2023,"Animation, Adventure, Family, Fantasy, Comedy", English,724459031,100000000,AU,76
Mummies,05-01-2023,"Animation, Comedy, Family, Adventure, Fantasy"," Spanish, Castilian",34200000,12300000,AU,70
Supercell,17-03-2023,Action, English,340941958.6,77000000,US,61
Cocaine Bear,23-02-2023,"Thriller, Comedy, Crime", English,80000000,35000000,AU,66
John Wick: Chapter 4,23-03-2023,"Action, Thriller, Crime", English,351349364,100000000,AU,80
Puss in Boots: The Last Wish,26-12-2022,"Animation, Family, Fantasy, Adventure, Comedy", English,483480577,90000000,AU,83
Attack on Titan,30-09-2022,"Action, Science Fiction", English,254946484.2,71000000,US,59
The Park,02-03-2023,"Action, Drama, Horror, Science Fiction, Thriller", English,488962491,119200000,US,58
Winnie the Pooh: Blood and Honey,14-02-2023,"Horror, Thriller", English,3200000,100000,AU,58
The Exorcist,02-11-2022,Horror," Spanish, Castilian",428214478,12000000,MX,55
Murder Mystery 2,31-03-2023,"Comedy, Mystery, Action", English,489543087.4,43800000,AU,65
Black Panther: Wakanda Forever,10-11-2022,"Action, Adventure, Science Fiction", English,854041058,250000000,AU,73
The Pope's Exorcist,06-04-2023,"Horror, Mystery", English,462216471.8,92000000,AU,72
Prizefighter: The Life of Jem Belcher,22-07-2022,"Drama, History", English,562112551,77600000,GB,62
Knock at the Cabin,02-02-2023,"Thriller, Mystery, Horror, Fantasy", English,54629497,20000000,AU,64
The Devil Conspiracy,13-01-2023,"Horror, Thriller", English,492646395.4,54060000,US,65
Cazadora,19-01-2023,Thriller," Spanish, Castilian",318117812.6,110400000,CL,57
Gold Run,15-12-2022,"War, Action, Adventure, Thriller", Norwegian,420430064.8,123500000,NO,65
The Magician's Elephant,17-03-2023,"Animation, Adventure, Family, Fantasy", English,473097256.6,82600000,AU,73
Plane,27-01-2023,"Action, Adventure, Thriller", English,51000000,25000000,GB,69
The Passion of the Christ,25-02-2004,Drama, English,622313635,25000000,AU,74
Batman: The Doom That Came to Gotham,28-03-2023,"Animation, Fantasy, Horror, Action, Mystery", English,321934831.2,145760000,US,64
Shazam! Fury of the Gods,16-03-2023,"Action, Comedy, Fantasy", English,132107025,125000000,AU,69
Consecration,10-02-2023,"Horror, Thriller", English,492646395.4,54060000,US,65
Shark Side of the Moon,12-08-2022,"Action, Science Fiction, Thriller, Horror", English,17887093.8,10000,US,53
Black Adam,20-10-2022,"Action, Adventure, Science Fiction, Fantasy", English,391261706,200000000,AU,71
Money Shot: The Pornhub Story,15-03-2023,Documentary, English,280052393,68500000,US,58
M3GAN,12-01-2023,"Science Fiction, Horror, Comedy", English,167643991,12000000,AU,74
Ant-Man and the Wasp: Quantumania,16-02-2023,"Science Fiction, Adventure, Action", English,466001332,200000000,AU,63
Sayen,03-03-2023,"Thriller, Action"," Spanish, Castilian",370426090.8,73800000,CL,62
Die Hart,24-02-2023,"Action, Comedy, Thriller", English,369995579.2,113000000,US,62
13 Exorcisms,04-11-2022,"Drama, Horror"," Spanish, Castilian",1891519,2480000,ES,55
H.P. Lovecraft's Witch House,29-06-2022,Horror, English,301123555.2,146740000,US,60
John Wick: Chapter 2,18-05-2017,"Action, Thriller, Crime", English,171539887,40000000,AU,73
Sick,24-09-2022,"Horror, Thriller", English,408307377.8,81800000,US,63
Black Warrant,01-03-2023,"Action, Thriller", English,378399280.8,116000000,AU,54
Shotgun Wedding,26-01-2023,"Action, Comedy, Romance", English,4495365,16050000,AU,63
John Wick: Chapter 3 - Parabellum,16-05-2019,"Action, Thriller, Crime", English,326709727,55000000,AU,74
Legion of Super-Heroes,07-02-2023,"Animation, Action, Science Fiction", English,778431865.2,113400000,US,63
Fall,22-09-2022,"Thriller, Drama", English,16120263,3000000,AU,73
Lord of the Streets,22-04-2022,Action, English,22790427.2,1000000,US,52
Little Dixie,03-02-2023,"Thriller, Action, Drama, Crime", English,748525217.4,141340000,US,60
The Whale,02-02-2023,Drama, English,36752010,3000000,AU,81
Prey for the Devil,28-10-2022,"Horror, Thriller", English,37655699,27240305,US,71
Bandit,23-09-2022,"Crime, Drama, Thriller", English,484414431,115000000,US,62
Roald Dahl's Matilda the Musical,08-12-2022,"Family, Comedy, Fantasy", English,13276499,25000000,AU,68
The Simpsons Meet the Bocellis in Feliz Navidad,15-12-2022,"Animation, Family, Comedy", English,425726914.4,97200000,US,52
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,25-02-2021,"Animation, Action, Adventure, Fantasy, Thriller", Japanese,503063688,15800000,AU,83
Huesera: The Bone Woman,23-02-2023,"Drama, Horror, Mystery"," Spanish, Castilian",670271186.2,135000000,MX,58
The Last Heretic,09-11-2022,"Thriller, Horror"," Spanish, Castilian",344127931.8,122400000,AR,55
JUNG_E,20-01-2023,"Science Fiction, Action, Adventure", Korean,580188584,66240000,KR,63
A Man Called Otto,01-01-2023,"Comedy, Drama", English,108973274,50000000,AU,79
Champions,09-03-2023,Comedy, English,9263009,51880004,AU,68
Dungeons & Dragons: Honor Among Thieves,30-03-2023,"Adventure, Fantasy, Comedy", English,158598670,150000000,AU,76
Troll,01-12-2022,"Fantasy, Action, Adventure, Thriller", Norwegian,977795653.4,121400000,AU,68
Sonic the Hedgehog 2,31-03-2022,"Action, Adventure, Family, Comedy", English,405421518,90000000,AU,76
A Bronx Tale,20-05-1994,"Drama, Crime", English,17287898,10000000,AU,78
Big Trip 2: Special Delivery,19-01-2023,"Animation, Family, Adventure, Comedy", Russian,416119951.4,95200000,AU,65
Encanto at the Hollywood Bowl,28-12-2022,Music, English,533207056.8,127000000,US,73
The Forbidden Legend: Sex & Chopsticks 2,04-03-2009,"Comedy, Drama, Romance", Cantonese,318375960.2,89600000,HK,60
Top Gun: Maverick,26-05-2022,"Action, Drama", English,1481369482,170000000,AU,83
On a Wing and a Prayer,06-04-2023,"Drama, Thriller", English,445526734.8,147400000,US,65
Sniper: The White Raven,24-08-2022,"War, Drama", Ukrainian,102414815.2,1000000,UA,76
The Enforcer,01-12-2022,"Action, Crime, Drama, Thriller", English,102023958,1261569,AU,74
Diabolik - Ginko Attacks,17-11-2022,"Crime, Action", Italian,1228459,21680000,IT,57
Scream VI,09-03-2023,"Horror, Mystery, Thriller", English,167273149,35000000,AU,73
Avatar,17-12-2009,"Action, Adventure, Fantasy, Science Fiction", English,2923706026,237000000,AU,76
Breaking,26-08-2022,"Crime, Drama, Thriller", English,318039059.2,72000000,US,67
Tetris,31-03-2023,"Thriller, History, Drama", English,594334899,172000000,GB,78
65,09-03-2023,"Thriller, Science Fiction, Action", English,56072012,45000000,AU,63
Thor: Love and Thunder,06-07-2022,"Fantasy, Action, Comedy", English,760928081,250000000,AU,66
Arctic Void,14-01-2022,"Science Fiction, Thriller", English,872776677.4,147200000,US,47
Terrifier 2,28-10-2022,Horror, English,12964783,250000,AU,69
John Wick,26-11-2014,"Action, Thriller", English,75958800,30000000,AU,74
Spider-Man: No Way Home,16-12-2021,"Action, Adventure, Science Fiction", English,1910048245,200000000,AU,80
R.I.P.D. 2: Rise of the Damned,15-11-2022,"Action, Comedy, Fantasy, Crime", English,539054106.6,52000000,US,66
Dolphin Boy,07-04-2022,"Animation, Adventure, Fantasy, Comedy", Russian,489779661,115000000,RU,65
Guillermo del Toro's Pinocchio,24-11-2022,"Animation, Fantasy, Drama, Music", English,81567666.2,35000000,AU,82
A Frozen Rooster,14-12-2022,"Animation, Adventure, Comedy, Family"," Spanish, Castilian",604874932.2,113880000,MX,79
Dragon Ball Super: Super Hero,18-08-2022,"Animation, Science Fiction, Action", Japanese,86562140,43602530.2,AU,79
Nocebo,04-11-2022,"Mystery, Thriller, Horror", English,586323916.4,112000000,US,63
Prey,05-08-2022,"Thriller, Action, Science Fiction", English,0,65000000,AU,78
Hex,01-11-2022,"Action, Horror, Thriller", English,457839055.6,117480000,US,61
Medieval,09-09-2022,"Action, Drama, History", English,4311284,23000000,US,72
Barbie: Skipper and the Big Babysitting Adventure,16-03-2023,"Family, Animation", English,716009340.2,134400000,US,73
Super Mario Bros.,10-06-1993,"Action, Adventure, Comedy, Family, Science Fiction", English,20844907,42000000,AU,43
Transfusion,05-01-2023,"Crime, Thriller, Drama", English,260353036.4,104580000,AU,64
Jurassic World Dominion,09-06-2022,"Adventure, Action, Science Fiction", English,1001978080,165000000,AU,69
The Boss Baby: Christmas Bonus,06-12-2022,"Animation, Family, Adventure", English,455134472.8,51000000,US,68
Shazam!,04-04-2019,"Action, Comedy, Fantasy", English,363563907,85000000,AU,70
El último hombre sobre la Tierra,22-12-2022,Comedy," Spanish, Castilian",246367071,100000000,CO,65
All Quiet on the Western Front,13-10-2022,"Drama, War, History", German,326479707.4,20000000,AU,78
Violent Night,01-12-2022,"Action, Comedy, Crime, Thriller", English,76599607,20000000,AU,76
Scream,13-01-2022,"Horror, Mystery, Thriller", English,138874789,24000000,AU,67
Scream,13-01-2022,"Horror, Mystery, Thriller", English,173046640,15000000,AU,67
Devotion,20-01-2023,"War, History, Drama", English,20000000,90000000,AU,74
The Woman King,27-10-2022,"Action, Drama, History", English,94374749,50000000,AU,78
Evil Dead Rise,20-04-2023,"Horror, Thriller", English,469254456.2,132500000,AU,74
Perfect Addiction,16-02-2023,"Drama, Romance, Action", English,387664307.6,79800000,DE,67
Project Gemini,06-01-2022,"Science Fiction, Horror", English,308786595.8,134000000,RU,58
Doctor Strange in the Multiverse of Madness,05-05-2022,"Fantasy, Action, Adventure", English,952224986,200000000,AU,74
There Are No Saints,01-07-2022,"Action, Mystery, Thriller", English,194565354,136400000,AU,53
Avengers: Infinity War,25-04-2018,"Adventure, Action, Science Fiction", English,2048359754,300000000,AU,83
Smile,23-09-2022,"Horror, Mystery, Thriller", English,216049734,17000000,AU,68
¡Que Viva México!,23-03-2023,Comedy," Spanish, Castilian",947468745.8,100100000,MX,47
Detective Knight: Independence,20-01-2023,"Action, Crime, Thriller", English,772865923.6,134200000,US,56
Strange World,24-11-2022,"Animation, Family, Adventure, Science Fiction", English,69566884,135000000,AU,65
The Ten Commandments,12-12-1958,"Drama, History", English,85433929,13500000,AU,78
The Ten Commandments,12-12-1958,"Drama, History", English,1051907,10000000,AU,78
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,29-03-2019,"Action, Animation, Fantasy", Japanese,645532173.4,129000000,JP,80
Four's a Crowd,28-10-2022,Comedy," Spanish, Castilian",271669045.6,110000000,ES,63
Minions: The Rise of Gru,04-07-2022,"Animation, Comedy, Family", English,939200081,80000000,AU,75
Creed II,06-12-2018,Drama, English,213591522,50000000,AU,70
Creed,26-11-2015,Drama, English,173567581,37000000,AU,74
Beast,25-08-2022,"Thriller, Action, Horror, Adventure", English,59103794,36000000,AU,68
Fast X,19-05-2023,"Action, Crime, Thriller", English,0,340000000,US,0
My Name Is Vendetta,30-11-2022,"Action, Crime, Thriller", Italian,365992130.6,113000000,AU,68
Wrath of Man,29-04-2021,"Action, Crime, Thriller", English,103913405,40000000,AU,77
Jeepers Creepers: Reborn,22-09-2022,"Horror, Thriller, Mystery", English,5954938,5000000,AU,57
Turning Red,11-03-2022,"Animation, Family, Comedy, Fantasy", English,10964971,175000000,AU,75
Encanto,28-11-2021,"Animation, Comedy, Family, Fantasy", English,231120602,150000000,AU,76
Prancer: A Christmas Tale,22-11-2022,"Family, Fantasy", English,284184080,86800000,US,59
Magic Mike's Last Dance,09-02-2023,"Comedy, Drama, Romance", English,52000000,45000000,AU,72
"Lyle, Lyle, Crocodile",26-12-2022,"Comedy, Family, Music", English,107644101,50000000,AU,75
The Penitent Thief,25-02-2021,Drama, English,23800,15160689,AU,62
Hacksaw Ridge,07-10-2016,"Drama, History, War", English,169023926,40000000,AU,82
Venus,02-12-2022,"Drama, Horror, Thriller"," Spanish, Castilian",7818479,6000000,ES,55
The Offering,23-09-2022,Horror, English,134150172.6,103600000,US,57
Jujutsu Kaisen 0,17-03-2022,"Animation, Action, Fantasy", Japanese,195870885,21835777,AU,82
The Batman,02-03-2022,"Crime, Mystery, Thriller", English,766326717,200000000,AU,77
Life in a Year,27-11-2020,"Drama, Romance", English,627851111.8,90000000,US,83
Super Mario Brothers: Great Mission to Rescue Princess Peach,20-07-1986,"Animation, Comedy, Fantasy", Japanese,675230189,151600000,JP,60
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",26-12-2005,"Adventure, Family, Fantasy", English,745013115,180000000,AU,71
The Exorcism of God,01-07-2022,Horror, English,123516163.2,1500000,AU,72
Ghosts of the Ozarks,04-02-2022,"Western, Horror, Mystery", English,548624602.6,113000000,US,63
Kompromat,01-12-2022,"Thriller, Drama", French,302915354,155140000,AU,65
Matadero,09-12-2022,Drama," Spanish, Castilian",346352260.6,73800000,ES,60
Air,05-04-2023,Drama, English,5000000,28519270.6,AU,79
Disenchanted,18-11-2022,"Comedy, Family, Fantasy", English,524597714.8,142600000,AU,70
Luck,05-08-2022,"Animation, Adventure, Comedy, Fantasy", English,721203091.4,147000000,AU,79
Bullet Train,04-08-2022,"Action, Comedy, Thriller", English,238534963,85900000,AU,75
Night at the Museum: Kahmunrah Rises Again,09-12-2022,"Animation, Comedy, Family, Fantasy", English,508761361.2,124400000,US,69
Blade of the 47 Ronin,25-10-2022,"Action, Drama, Fantasy, Thriller", English,431341845.4,131000000,AU,67
Sing 2,26-12-2021,"Animation, Family", English,404655351,85000000,AU,80
